,Filename,A,B_1,B_2,C,XE_0,XP_0,W,N,X,W_50,W_20,F_peak,F_int
25,1755+578_gmrt.freq,0.0102093,3.7739,4.25711,0.0,47.0767,0.1,0.836928,0.0,160.311,51.0418,61.6389,0.0102092,0.522696
26,1830-211_cdn99.DAT,0.0254022,0.513774,0.296885,1.99406,21.1146,25.4069,5.52195,1.11912,-72.1082,217.69,324.537,0.493466,116.354
27,1850+402_gmrt.freq,0.359348,0.404591,0.0350469,0.0,158.807,0.1,-9.08449,0.0,127.259,31.0625,57.1086,0.050767,1.88617
28,2003-025_gmrt.freq,0.012337,1.36929,0.568716,0.246696,63.6988,61.4885,5.35967,0.620541,54.3322,43.1719,49.0459,0.0202162,0.775599
29,2039+187_gbt.freq,813042000.0,0.410645,0.0175829,0.0,-19.5099,0.1,-128.124,0.0,-65.1229,13.2333,24.296,0.0482651,0.78392
30,2337-011_gmrt.freq,0.0185947,1.19102,1.86703,0.0,40.3189,0.1,1.51921,0.0,33.6526,5.9205,7.53598,0.0185622,0.109979
31,2351+456_gmrt.freq,0.677793,0.14425,0.0785792,0.0,206.537,0.1,7.78227,0.0,6.77831,59.7492,90.9247,0.51915,32.8406
32,2355-106_gmrt.freq,0.00597843,0.510175,4.08295,5.80216e-08,106.714,108.836,0.394969,12.7777,44.7337,4.70261,10.9701,0.0182849,0.101355
33,J0414_mcm98.dat,0.0190615,0.252078,0.351217,0.0257895,583.812,583.652,1.44898,4.21014,-7.45302,11.332,36.976,0.0444029,0.806966
34,SPEC_J0041S.DAT,0.487836,3.65132,0.0414577,0.0539498,491.503,494.024,-0.598757,1.22691,-474.621,50.2179,75.4959,0.24207,4.8743
35,SPEC_J0849_2.DAT,0.0040932,0.818051,0.693847,0.0335779,237.067,237.861,4.66725,3.14805,-5.98592,6.93831,26.5465,0.0181797,0.215934
36,SPEC_J0921+6215.DAT,0.0162804,5.22284,4.73246,0.497066,257.125,254.781,3.86909,0.986447,0.667036,7.92998,14.2907,0.0619978,0.521959
37,SPEC_J1241.DAT,0.00160958,1.00386,0.554781,0.261593,59.256,59.8428,3.76385,2.43346,-11.0991,9.79977,39.3027,0.00975111,0.169528
38,SPEC_J1243.DAT,0.0191959,0.276403,4.6659,0.106433,46.1184,44.0722,0.632664,4.39036,9.65962,2.51164,25.3214,0.0780988,0.496738
39,SPEC_J1255+1817.DAT,3.27972e-07,0.314654,6.89834,3720.01,966.376,975.242,14.4692,1.34583,-1.38201,25.4945,40.0613,0.0640347,1.76059
40,SPEC_J1327+4326.DAT,0.0244775,3.76719,4.55107,0.0,1118.63,0.1,0.406228,0.0,338.649,1.84098,2.51736,0.0238394,0.0442722
41,SPEC_J1342+5110.DAT,0.00998841,0.111258,0.37712,0.0,234.524,0.1,12.5122,0.0,3.20575,54.1263,69.0805,0.00996846,0.540195
42,SPEC_J1428.DAT,142186.0,0.320421,0.736011,0.061959,237.209,233.161,-5.79739,6.46872,3.89564,10.3764,17.192,0.0304914,0.293576
43,SPEC_J1438d.DAT,0.0132328,0.237052,0.405206,0.0,249.66,0.1,4.50693,0.0,-3.10908,18.4012,25.9958,0.0125222,0.23537
44,SPEC_J1443.DAT,954612000.0,0.082519,0.532252,0.0,277.264,0.1,-27.2943,0.0,0.151422,8.8789,14.0158,0.0464965,0.454052
45,SPEC_J1551.DAT,0.10161,3.24686,0.0575635,0.106379,506.701,507.0,1.53311,0.908477,633.203,72.9568,122.48,0.0664106,0.800432
46,SPEC_J1639.DAT,0.112431,0.126561,0.0791416,0.0444112,234.983,235.953,5.2473,1.33862,-1.57297,23.8519,32.6225,0.0778587,1.86839
47,SPEC_J2219+0229.DAT,0.0190615,0.252078,0.351217,0.0257895,583.812,583.652,1.44898,4.21014,-7.45302,11.332,36.976,0.0444029,0.806966
